OBJECTID,Id,DESA,KECAMATAN,KABKOT,PROPINSI,X,Y,Z,FillTransp,OutlineTra,SHAPE_Leng,SHAPE_Area
1,0,WARUGUNUNG,KARANG PILANG,SURABAYA,,112.673585,-7.342167051,1,49.80392157,0,9913.141714,3902169.5
2,0,KARANG PILANG,KARANG PILANG,SURABAYA,,112.6896467,-7.339348856,1,49.80392157,0,6840.293677,2164425.5
3,0,KEBRAON,KARANG PILANG,SURABAYA,,112.7005009,-7.330315057,1,49.80392157,0,7984.106871,2073235
4,0,KEDURUS,KARANG PILANG,SURABAYA,,112.7059124,-7.320099328,1,49.80392157,0,5973.233996,1752535.5
5,0,PAGESANGAN,JAMBANGAN,SURABAYA,,112.7126187,-7.334844306,1,49.80392157,0,5102.418403,1121491.5
6,0,KEBONSARI,JAMBANGAN,SURABAYA,,112.7151632,-7.327316487,1,49.80392157,0,4734.913621,895948.5
7,0,JAMBANGAN,JAMBANGAN,SURABAYA,,112.7144112,-7.319067474,1,49.80392157,0,4163.569253,892747.5
8,0,KARAH,JAMBANGAN,SURABAYA,,112.7190131,-7.314460262,1,49.80392157,0,6674.822959,1527350.5
9,0,DUKUH MENANGGAL,GAYUNGAN,SURABAYA,,112.7288345,-7.343898497,1,49.80392157,0,6922.160934,1328473
10,0,MENANGGAL,GAYUNGAN,SURABAYA,,112.7239793,-7.339939498,1,49.80392157,0,4181.220257,654690
11,0,GAYUNGAN,GAYUNGAN,SURABAYA,,112.7251362,-7.332784886,1,49.80392157,0,7167.957483,1460281.5
12,0,KETINTANG,GAYUNGAN,SURABAYA,,112.7276035,-7.318578857,1,49.80392157,0,8723.465903,2545661
13,0,SIWALANKERTO,WONOCOLO,SURABAYA,,112.7373297,-7.336075813,1,49.80392157,0,6582.833528,1901326
14,0,JEMUR WONOSARI,WONOCOLO,SURABAYA,,112.7383797,-7.323820164,1,49.80392157,0,6904.068254,1839530
15,0,MARGOREJO,WONOCOLO,SURABAYA,,112.7411062,-7.315437632,1,49.80392157,0,5239.084256,937130.5
16,0,BENDUL MERISI,WONOCOLO,SURABAYA,,112.7447577,-7.309840125,1,49.80392157,0,3863.797025,757588.5
17,0,SIDOSERMO,WONOCOLO,SURABAYA,,112.7529117,-7.310539201,1,49.80392157,0,5794.751068,1106678.5
18,0,KUTISARI,TENGGILIS MEJOYO,SURABAYA,,112.74897,-7.33560719,1,49.80392157,0,5667.95288,1945432
19,0,KENDANGSARI,TENGGILIS MEJOYO,SURABAYA,,112.7505104,-7.325008707,1,49.80392157,0,6596.351514,1486441.5
20,0,TENGGILIS MEJOYO,TENGGILIS MEJOYO,SURABAYA,,112.7578934,-7.320161831,1,49.80392157,0,5610.004308,1150441
21,0,PRAPEN,TENGGILIS MEJOYO,SURABAYA,,112.7578789,-7.313979538,1,49.80392157,0,3504.523388,406316.5
