Neighborhood,Penduduk,KK,Rata-rata Anggota Keluarga
WARUGUNUNG,9697,2982,3.25
KARANG PILANG,9725,2963,3.28
KEBRAON,30160,9558,3.16
KEDURUS,27975,8761,3.19
TANAH KALI KEDINDING,60566,17629,3.44
SIDOTOPO WETAN,64200,18373,3.49
BULAK BANTENG,36517,9887,3.69
TAMBAK WEDI,17915,5050,3.55
BONGKARAN,11402,3858,2.96
NYAMPLUNGAN,9473,2995,3.16
KREMBANGAN UTARA,19156,5955,3.22
PERAK TIMUR,16221,4900,3.31
PERAK UTARA,29604,8955,3.31
GUNUNGSARI,14981,4678,3.20
DUKUH PAKIS,15615,4922,3.17
PRADAHKALI KENDAL,15996,5027,3.18
DUKUH KUPANG,16254,5194,3.13
BARATAJAYA,16996,5598,3.04
PUCANG SEWU,15116,5042,3.00
KERTAJAYA,26692,8597,3.10
GUBENG,15361,5049,3.04
AIRLANGGA,21193,7128,2.97
MOJO,48516,15783,3.07
BANGKINGAN,9102,2727,3.34
SUMUR WELUT,5582,1728,3.23
LIDAH WETAN,12000,3698,3.24
LIDAH KULON,17696,5513,3.21
JERUK,8956,2765,3.24
LAKARSANTRI,8571,2627,3.26
SEMEMI,38547,11442,3.37
KANDANGAN,23188,7031,3.30
TAMBAK OSO WILANGON,3902,1190,3.28
ROMOKALISARI,2714,825,3.29
EMBONG KALIASIN,13397,4179,3.21
KETABANG,7697,2517,3.06
GENTENG,8731,2952,2.96
PENELEH,15429,5120,3.01
KAPASARI,17911,5783,3.10
MADE,9261,2921,3.17
BRINGIN,5577,1661,3.36
SAMBIKEREP,21582,6635,3.25
LONTAR,30413,9421,3.23
KEPUTRAN,16610,5360,3.10
DR. SUTOMO,17783,5768,3.08
TEGALSARI,19634,6141,3.20
WONOREJO,18257,5540,3.30
KEDUNGDORO,25271,8197,3.08
NGIDEN JANGKUNGAN,16182,4990,3.24
SEMOLOWARU,19992,6288,3.18
MEDOKAN SEMAMPIR,19828,5969,3.32
KEPUTIH,18206,5387,3.38
