,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,WARUGUNUNG,-7.3421670510000006,112.673585,Hokben Supermall,-7.340083607931664,112.67609157387315,Japanese Restaurant
1,KARANG PILANG,-7.339348856,112.6896467,Gerbang Tol Warugunung,-7.34021,112.690311,Toll Booth
2,KARANG PILANG,-7.339348856,112.6896467,Sungai karangpilang,-7.337977637835476,112.69023288192199,River
3,KARANG PILANG,-7.339348856,112.6896467,Indomaret,-7.34163582482399,112.69092539378744,Grocery Store
4,KEBRAON,-7.330315057000001,112.70050090000001,Toko LUCKY,-7.326821804046631,112.70049285888672,Convenience Store
5,KEBRAON,-7.330315057000001,112.70050090000001,Giant Ekspres,-7.333115619262532,112.70118048540054,Supermarket
6,KEBRAON,-7.330315057000001,112.70050090000001,Indomaret,-7.332517,112.700785,Convenience Store
7,KEBRAON,-7.330315057000001,112.70050090000001,Cak Pur (penyetan),-7.3334148661735306,112.70232849598233,Diner
8,KEBRAON,-7.330315057000001,112.70050090000001,Soto Ayam Pak Darman,-7.333234528531398,112.69856627164218,Asian Restaurant
9,KEBRAON,-7.330315057000001,112.70050090000001,Warkop So Lid Ag,-7.331061954418679,112.70420646366263,Coffee Shop
10,KEBRAON,-7.330315057000001,112.70050090000001,Tahu Tek Kebraon,-7.333554962300155,112.70252926395442,Diner
11,KEDURUS,-7.3200993279999995,112.7059124,Pecel purel,-7.3223940131946135,112.70655043453807,Indonesian Restaurant
12,KEDURUS,-7.3200993279999995,112.7059124,kampung roti,-7.317922562041745,112.70894799915072,Bakery
13,KEDURUS,-7.3200993279999995,112.7059124,Foto Copy 16JHS Surabaya,-7.32448,112.70634,Paper / Office Supplies Store
14,PAGESANGAN,-7.334844306,112.7126187,Pusat Jajanan Masjid Agung,-7.336571805827783,112.71416210102399,Street Food Gathering
15,PAGESANGAN,-7.334844306,112.7126187,Cangkruk'an malam Masjid Agung Surabaya,-7.335892653255427,112.71416210102399,Nightlife Spot
16,PAGESANGAN,-7.334844306,112.7126187,jogging track Masjid Agung Surabaya,-7.336865372486588,112.71637916564941,Track
17,PAGESANGAN,-7.334844306,112.7126187,Lontong Kikil Kutai Jaya,-7.336887705537087,112.71600099672284,Food Truck
18,PAGESANGAN,-7.334844306,112.7126187,Dimsum Kauman Cafe & Resto,-7.335293373928572,112.71642836492012,Dim Sum Restaurant
19,PAGESANGAN,-7.334844306,112.7126187,Restoran Agis,-7.332116652233146,112.71329114610704,Asian Restaurant
20,KEBONSARI,-7.327316487,112.71516319999999,Indomaret,-7.326653636151403,112.71230923569503,Convenience Store
21,KEBONSARI,-7.327316487,112.71516319999999,Soto Ayam New Cipto Roso,-7.328338532769196,112.71667021427689,Restaurant
22,KEBONSARI,-7.327316487,112.71516319999999,Pasar Karah,-7.325692189100314,112.71633625030518,Park
23,KEBONSARI,-7.327316487,112.71516319999999,Al-Hikmah Sport Center,-7.326045170193195,112.71945182690658,Middle School
24,JAMBANGAN,-7.319067474,112.7144112,Warkop Ngopi Kopi,-7.321922359392069,112.71423836540359,Coffee Shop
25,JAMBANGAN,-7.319067474,112.7144112,Warkop Mbois,-7.321625,112.714211,Coffee Shop
